Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,15,2.26,13,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,16,1.55,14,2,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,19,1.39,17,0,0,1,0,1,3,0.22,3,0,0,0,0,0,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3.0,17,5.71,12,0,1,4,0,0,1,0.34,0,0,0,1,0,0,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,8,3.20,2,0,4,1,1,0,1,0.40,0,0,1,0,0,0,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,6,0.28,5,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15.0,29,1.93,26,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,19,2.08,12,0,5,1,1,0,3,0.33,3,0,0,0,0,0,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,41,2.34,18,17,0,1,1,4,2,0.11,2,0,0,0,0,0,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,2,2.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,40,2.10,35,1,1,1,0,2,1,0.05,1,0,0,0,0,0,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,163,5.45,91,29,25,5,9,4,16,0.53,9,1,5,1,0,0,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,1,0.61,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,1,1.53,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Fanendo Adi\ae2dd50a,ng NGA,FW,Minnesota Utd,30,1990,2.3,6,2.57,4,0,0,1,1,0,2,0.86,1,0,0,1,0,0,Matches
16,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,34,1986,20.2,33,1.64,24,4,1,2,1,1,2,0.10,2,0,0,0,0,0,Matches
17,Juan Agudelo\0cb2115f,us USA,FWMF,Minnesota Utd,28,1992,2.7,7,2.57,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
18,Raul Aguilera Jr.\7b6113d9,us USA,MF,Orlando City,21,1999,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Daniel Aguirre\ecc5063f,us USA,MFFW,LA Galaxy,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,24,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Arnaud Ake\3402bb17,ci CIV,FWMF,Nashville,22,1998,4.4,13,2.97,9,0,0,1,2,1,4,0.91,3,0,0,0,1,0,Matches
22,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,28,1992,15.2,30,1.97,23,0,0,3,0,4,6,0.39,5,0,0,0,0,1,Matches
23,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,21,2000,7.2,10,1.40,8,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,31,1989,22.7,12,0.53,7,0,0,4,0,1,1,0.04,1,0,0,0,0,0,Matches
25,Caio Alexandre\08ac23b7,br BRA,MF,Vancouver,21,1999,10.6,16,1.51,12,0,1,1,0,2,1,0.09,1,0,0,0,0,0,Matches
26,Tony Alfaro\4118b12a,us USA,DF,D.C. United,27,1993,20.5,11,0.54,8,1,0,1,0,1,1,0.05,0,0,0,0,0,1,Matches
27,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,20,2000,17.7,51,2.88,38,3,4,3,3,0,3,0.17,2,0,0,1,0,0,Matches
28,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,35,1985,15.7,28,1.78,24,0,2,0,2,0,1,0.06,1,0,0,0,0,0,Matches
29,Jozy Altidore\8db8ad1e,us USA,FW,Toronto FC,31,1989,8.5,12,1.41,8,0,0,0,3,1,2,0.23,0,0,0,0,1,1,Matches
30,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,21,1999,2.2,7,3.20,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
31,Ventura Alvarado\4c219392,us USA,DF,Inter Miami,28,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,13.9,63,4.53,39,7,10,1,4,2,8,0.58,6,0,1,0,1,0,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,32,3.43,17,4,1,2,5,3,2,0.21,1,1,0,0,0,0,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,33,2.13,26,2,1,0,3,1,5,0.32,4,0,0,0,1,0,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,36,1.66,29,0,1,2,2,2,4,0.18,3,0,1,0,0,0,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,2,0.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,24,1.43,20,1,1,0,1,1,1,0.06,1,0,0,0,0,0,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,53,3.42,32,0,4,6,10,1,5,0.32,2,0,1,0,2,0,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31.0,64,2.06,57,0,6,0,1,0,10,0.32,9,0,1,0,0,0,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,58,4.55,43,1,7,4,2,1,6,0.47,4,1,1,0,0,0,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,13,3.14,9,0,1,1,0,2,2,0.48,2,0,0,0,0,0,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24.0,7,0.29,5,0,0,0,2,0,1,0.04,0,0,0,0,1,0,Matches
