Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,3,2,170,1.9,2,1.06,4,4,75.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
2,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5,5,450,5.0,8,1.60,16,8,50.0,3,0,2,1,20.0,0,0,0,0,,Matches
3,Luis Barraza\e6f22a6b,us USA,GK,NYCFC,24,1996,5,5,450,5.0,5,1.00,10,7,70.0,3,0,2,2,40.0,2,2,0,0,0.0,Matches
4,Joe Bendik\c3e50b67,us USA,GK,Philadelphia,31,1989,3,2,212,2.4,3,1.27,6,4,83.3,1,0,1,0,0.0,2,2,0,0,0.0,Matches
5,Jamal Blackman\dd26b605,eng ENG,GK,Los Angeles FC,27,1993,8,8,720,8.0,13,1.62,37,24,64.9,3,3,2,1,12.5,0,0,0,0,,Matches
6,Andre Blake\b3b21a11,jm JAM,GK,Philadelphia,30,1990,26,26,2340,26.0,24,0.92,94,73,75.5,12,8,6,12,46.2,4,1,3,0,75.0,Matches
7,Jonathan Bond\c3a86eea,eng ENG,GK,LA Galaxy,27,1993,31,31,2790,31.0,50,1.61,165,119,72.7,12,8,11,4,12.9,6,5,0,1,0.0,Matches
8,Alex Bono\aa28a396,us USA,GK,Toronto FC,26,1994,24,24,2160,24.0,44,1.83,119,82,67.2,6,7,11,2,8.3,5,5,0,0,0.0,Matches
9,Sebastian Breza\52e7f812,ca CAN,GK,CF Montréal,22,1998,8,8,720,8.0,8,1.00,28,21,75.0,3,2,3,2,25.0,1,1,0,0,0.0,Matches
10,Evan Bush\69a57596,us USA,GK,Columbus Crew,34,1986,4,4,360,4.0,6,1.50,13,7,53.8,2,1,1,1,25.0,0,0,0,0,,Matches
11,Steve Clark\ed6320b7,us USA,GK,Portland Timbers,34,1986,24,24,2096,23.3,30,1.29,110,85,78.2,13,3,8,7,29.2,6,6,0,0,0.0,Matches
12,Stefan Cleveland\873fdbdf,us USA,GK,Seattle,26,1994,15,15,1350,15.0,17,1.13,43,29,67.4,6,5,4,3,20.0,3,3,0,0,0.0,Matches
13,Carlos Coronel\5c07e176,br BRA,GK,NY Red Bulls,24,1996,34,34,3060,34.0,33,0.97,115,84,73.9,13,9,12,13,38.2,4,3,1,0,25.0,Matches
14,Maxime Crépeau\ea42e480,ca CAN,GK,Vancouver,26,1994,27,27,2430,27.0,31,1.15,120,91,76.7,10,10,7,6,22.2,4,3,1,0,25.0,Matches
15,Cody Cropper\aa133046,us USA,GK,FC Cincinnati,27,1993,1,1,90,1.0,5,5.00,10,6,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
16,Mario Daniel Vega\6904a59a,ar ARG,GK,San Jose,36,1984,1,1,90,1.0,1,1.00,1,0,0.0,0,1,0,0,0.0,1,0,0,1,,Matches
17,Clément Diop\0d5c0218,sn SEN,GK,CF Montréal,27,1993,8,8,720,8.0,9,1.13,30,23,76.7,2,3,3,3,37.5,3,2,1,0,33.3,Matches
18,Matt Freese\2f49476c,us USA,GK,Philadelphia,22,1998,6,6,506,5.6,8,1.42,23,16,65.2,1,4,1,0,0.0,0,0,0,0,,Matches
19,Stefan Frei\1d0a0f3e,ch SUI,GK,Seattle,34,1986,17,17,1530,17.0,16,0.94,58,43,72.4,9,4,4,5,29.4,2,0,1,1,100.0,Matches
20,Pedro Gallese\b76e1394,pe PER,GK,Orlando City,30,1990,22,22,1980,22.0,30,1.36,95,68,70.5,7,9,6,7,31.8,3,2,1,0,33.3,Matches
21,Adam Grinwis\0d3f30b9,us USA,GK,Orlando City,28,1992,2,2,180,2.0,5,2.50,7,4,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
22,Brad Guzan\d899e3bf,us USA,GK,Atlanta Utd,36,1984,29,29,2610,29.0,29,1.00,126,100,80.2,13,10,6,10,34.5,4,4,0,0,0.0,Matches
23,Bill Hamid\012fc030,us USA,GK,D.C. United,30,1990,21,21,1816,20.2,28,1.39,86,60,68.6,10,4,7,8,38.1,1,1,0,0,0.0,Matches
24,Thomas Hasal\86bac87b,ca CAN,GK,Vancouver,21,1999,7,7,630,7.0,14,2.00,34,21,61.8,2,3,2,1,14.3,1,1,0,0,0.0,Matches
25,Clint Irwin\c1205184,us USA,GK,Colorado Rapids,31,1989,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
26,Aljaž Ivačič\4d6e50d8,si SVN,GK,Portland Timbers,27,1993,5,4,411,4.6,12,2.63,33,21,63.6,1,1,2,0,0.0,0,0,0,0,,Matches
27,Sean Johnson\c164335e,us USA,GK,NYCFC,31,1989,29,29,2610,29.0,31,1.07,112,81,73.2,11,9,9,9,31.0,1,1,0,0,0.0,Matches
28,Alec Kann\4a8af93c,us USA,GK,Atlanta Utd,30,1990,5,5,450,5.0,8,1.60,31,24,77.4,0,2,3,0,0.0,1,1,0,0,0.0,Matches
29,Jon Kempin\063adc5e,us USA,GK,D.C. United,27,1993,10,9,884,9.8,17,1.73,32,17,50.0,3,1,5,1,11.1,1,1,0,0,0.0,Matches
30,Logan Ketterer\927c3059,us USA,GK,Portland Timbers,27,1993,3,3,270,3.0,3,1.00,10,7,70.0,2,0,1,2,66.7,1,0,1,0,100.0,Matches
31,Jonathan Klinsmann\1e29552f,us USA,GK,LA Galaxy,23,1997,3,3,270,3.0,4,1.33,11,6,63.6,1,1,1,1,33.3,0,0,0,0,,Matches
32,Brad Knighton\9903a3cb,us USA,GK,New England,35,1985,6,6,540,6.0,6,1.00,28,22,78.6,5,0,1,3,50.0,0,0,0,0,,Matches
33,Zac MacMath\06caac45,us USA,GK,Real Salt Lake,29,1991,7,7,585,6.5,6,0.92,20,15,75.0,2,2,3,2,28.6,1,1,0,0,0.0,Matches
34,J.T. Marcinkowski\977791f4,us USA,GK,San Jose,23,1997,33,33,2970,33.0,53,1.61,176,129,71.6,10,10,13,5,15.2,4,3,1,0,25.0,Matches
35,Marko Marić\b57454c7,hr CRO,GK,Houston Dynamo,25,1996,22,22,1980,22.0,34,1.55,102,70,67.6,3,10,9,3,13.6,2,1,0,1,0.0,Matches
36,Nick Marsman\f352799f,nl NED,GK,Inter Miami,30,1990,22,22,1919,21.3,33,1.55,95,66,67.4,9,3,10,5,22.7,3,2,1,0,33.3,Matches
37,Jimmy Maurer\ca1c6f3d,us USA,GK,FC Dallas,32,1988,24,24,2130,23.7,37,1.56,106,73,68.9,5,8,11,3,12.5,6,4,2,0,33.3,Matches
38,John McCarthy\249362e9,us USA,GK,Inter Miami,28,1992,13,12,1141,12.7,20,1.58,52,33,63.5,3,2,7,2,16.7,1,1,0,0,0.0,Matches
39,Phelipe Megiolaro\73aaa27d,br BRA,GK,FC Dallas,21,1999,11,10,930,10.3,19,1.84,52,37,71.2,2,4,4,1,10.0,4,4,0,0,0.0,Matches
40,Tim Melia\cc741f50,us USA,GK,Sporting KC,34,1986,28,28,2520,28.0,33,1.18,97,65,68.0,14,6,8,7,25.0,2,2,0,0,0.0,Matches
41,Tyler Miller\7827a6b3,us USA,GK,Minnesota Utd,27,1993,30,30,2700,30.0,34,1.13,127,98,76.4,13,10,7,11,36.7,5,4,1,0,20.0,Matches
42,Kyle Morton\3f394ec5,us USA,GK,Houston Dynamo,26,1994,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
43,Michael Nelson\f4a12161,us USA,GK,Houston Dynamo,25,1995,11,11,990,11.0,18,1.64,45,30,66.7,3,2,6,2,18.2,3,3,0,0,0.0,Matches
44,David Ochoa\dba6b279,us USA,GK,Real Salt Lake,20,2001,25,25,2250,25.0,40,1.60,117,81,67.5,11,4,10,5,20.0,3,2,1,0,33.3,Matches
45,James Pantemis\901408ac,ca CAN,GK,CF Montréal,23,1997,18,18,1620,18.0,27,1.50,77,54,67.5,7,5,6,3,16.7,2,2,0,0,0.0,Matches
46,John Pulskamp\6b306c92,us USA,GK,Sporting KC,19,2001,6,6,540,6.0,7,1.17,20,13,65.0,3,1,2,1,16.7,0,0,0,0,,Matches
47,Andrew Putna\5ba8a3f3,us USA,GK,Real Salt Lake,26,1994,3,2,225,2.5,8,3.20,12,5,33.3,1,0,1,0,0.0,0,0,0,0,,Matches
48,Spencer Richey\d9178ea2,us USA,GK,Seattle,28,1992,2,2,180,2.0,0,0.00,5,5,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
49,Tomas Romero\3349dcba,sv SLV,GK,Los Angeles FC,20,2000,18,18,1620,18.0,28,1.56,64,36,56.3,7,3,8,4,22.2,0,0,0,0,,Matches
50,Eloy Room\6b33d86b,cw CUW,GK,Columbus Crew,31,1989,30,30,2700,30.0,39,1.30,119,82,70.6,11,7,12,7,23.3,5,4,0,1,0.0,Matches
51,Chris Seitz\8b388dd5,us USA,GK,D.C. United,33,1987,4,4,360,4.0,9,2.25,16,10,43.8,1,0,3,0,0.0,0,0,0,0,,Matches
52,Bobby Shuttleworth\4598ac94,us USA,GK,Chicago Fire,33,1987,23,23,2070,23.0,38,1.65,107,74,67.3,6,4,13,4,17.4,3,3,0,0,0.0,Matches
53,Pablo Sisniega\550557e1,mx MEX,GK,Los Angeles FC,25,1995,8,8,720,8.0,10,1.25,24,14,58.3,2,3,3,1,12.5,0,0,0,0,,Matches
54,Gabriel Slonina\c55a846e,us USA,GK,Chicago Fire,16,2004,11,11,990,11.0,16,1.45,57,43,73.7,3,3,5,4,36.4,2,1,1,0,50.0,Matches
55,Dayne St. Clair\3f41d25f,ca CAN,GK,Minnesota Utd,23,1997,4,4,360,4.0,10,2.50,20,10,50.0,0,0,4,0,0.0,1,0,1,0,100.0,Matches
56,Mason Stajduhar\f01df62c,us USA,GK,Orlando City,23,1997,5,5,450,5.0,5,1.00,15,10,66.7,2,3,0,1,20.0,0,0,0,0,,Matches
57,Brad Stuver\6a1940d5,us USA,GK,Austin FC,29,1991,33,33,2970,33.0,53,1.61,187,134,72.7,9,4,20,5,15.2,3,2,1,0,33.3,Matches
