Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,1,0,0,5,5,3,13,5,9,0,0,0,51,5,13,27.8,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,2,0,0,9,4,0,6,23,12,0,0,0,71,16,12,57.1,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,4,0,0,36,16,1,35,31,27,0,0,0,122,20,16,55.6,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3.0,1,1,0,2,5,2,2,0,0,0,0,0,16,2,7,22.2,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,0,0,0,1,2,3,2,0,1,0,0,0,4,8,11,42.1,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,6,0,0,25,6,1,0,45,18,0,0,0,158,66,29,69.5,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15.0,7,1,1,26,22,1,1,33,31,0,0,0,170,13,16,44.8,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,2,0,0,14,13,3,8,13,4,0,0,0,46,9,29,23.7,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,7,1,0,48,21,0,15,37,30,0,1,0,161,36,12,75.0,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,1,0,0,2,1,0,2,1,1,0,0,0,3,0,0,,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,2,0,0,47,20,1,17,38,39,0,0,0,127,14,17,45.2,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,6,0,0,60,83,8,59,28,42,0,0,0,203,5,13,27.8,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,1,0,0,7,1,0,0,2,2,0,0,0,15,0,3,0.0,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,1,0,0,7,0,0,0,0,0,0,0,0,2,3,4,42.9,Matches
15,Fanendo Adi\ae2dd50a,ng NGA,FW,Minnesota Utd,30,1990,2.3,0,0,0,1,5,1,0,0,0,0,0,0,14,13,13,50.0,Matches
16,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,34,1986,20.2,5,1,1,17,14,2,41,45,21,0,1,0,162,15,16,48.4,Matches
17,Juan Agudelo\0cb2115f,us USA,FWMF,Minnesota Utd,28,1992,2.7,0,0,0,8,4,3,0,1,1,0,0,0,5,15,15,50.0,Matches
18,Raul Aguilera Jr.\7b6113d9,us USA,MF,Orlando City,21,1999,1.1,1,0,0,3,2,0,0,2,3,0,0,0,13,0,0,,Matches
19,Daniel Aguirre\ecc5063f,us USA,MFFW,LA Galaxy,21,1999,0.4,0,0,0,1,1,0,1,3,0,0,0,0,4,0,0,,Matches
