Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,194,189,5,1,0,44,2,13,3,0,0,0,154,17,23,26,158,3,0,3,143,0,2,6,8,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,567,453,114,3,0,52,13,6,0,0,0,0,367,105,95,56,371,22,111,0,468,0,14,16,12,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,780,628,152,8,2,122,31,35,1,0,1,0,422,178,180,147,459,19,143,1,591,3,27,36,23,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3.0,62,56,6,1,0,19,1,2,0,0,0,0,45,12,5,11,47,0,0,2,43,0,2,6,4,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,45,42,3,0,0,14,0,2,0,0,0,0,19,15,11,5,27,7,0,2,21,0,0,6,2,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,1005,986,19,17,0,101,24,0,0,0,0,0,833,65,107,47,890,38,2,0,924,2,7,9,6,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15.0,830,817,13,12,1,148,15,1,0,0,0,0,642,79,109,110,671,37,1,1,697,3,14,25,18,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,216,212,4,0,0,53,0,8,0,0,0,0,169,31,16,49,148,7,3,3,166,1,3,16,6,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,1179,1049,130,69,2,176,71,15,52,25,19,1,801,139,239,139,962,44,8,2,994,5,22,25,16,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,38,26,12,0,0,3,1,2,0,0,0,0,20,12,6,26,0,0,12,0,30,0,2,1,2,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,906,850,56,17,3,165,32,17,6,5,1,0,657,143,106,303,546,15,33,1,766,2,15,30,13,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,1655,1456,199,93,14,275,87,59,65,34,13,2,1174,201,280,309,1278,18,28,18,1252,12,29,73,66,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,75,70,5,4,0,10,2,0,0,0,0,0,64,5,6,13,59,2,1,0,70,0,1,0,1,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,11,10,1,0,0,2,0,0,0,0,0,0,9,0,2,8,1,0,0,0,9,0,0,0,1,Matches
15,Fanendo Adi\ae2dd50a,ng NGA,FW,Minnesota Utd,30,1990,2.3,62,54,8,0,1,20,0,0,0,0,0,0,35,14,13,6,37,5,1,3,39,0,0,6,3,Matches
