Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,143,194,73.7,2135,615,77,95,81.1,55,74,74.3,7,13,53.8,0,1.3,-1.3,10,10,8,0,17,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,468,567,82.5,8799,3255,188,201,93.5,222,255,87.1,53,95,55.8,0,1.1,-1.1,9,30,5,1,37,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,591,780,75.8,12170,4318,210,244,86.1,273,332,82.2,96,170,56.5,2,1.6,+0.4,11,45,9,6,55,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3.0,43,62,69.4,678,198,25,33,75.8,15,20,75.0,3,4,75.0,0,0.8,-0.8,8,2,3,0,6,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,21,45,46.7,304,45,11,23,47.8,8,15,53.3,1,3,33.3,0,0.0,0.0,0,0,4,0,4,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,924,1005,91.9,18990,6473,271,286,94.8,503,529,95.1,136,171,79.5,0,0.0,0.0,0,36,2,0,46,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15.0,697,830,84.0,12918,4261,300,334,89.8,288,339,85.0,94,125,75.2,0,0.9,-0.9,11,81,13,0,89,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,166,216,76.9,2182,613,108,132,81.8,45,56,80.4,5,13,38.5,1,1.0,0.0,5,6,6,1,11,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,994,1179,84.3,22762,6033,277,310,89.4,483,518,93.2,220,323,68.1,1,2.1,-1.1,22,108,14,1,81,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,30,38,78.9,544,194,17,18,94.4,8,11,72.7,5,8,62.5,0,0.0,0.0,1,2,0,0,3,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,766,906,84.5,15718,4053,261,299,87.3,382,429,89.0,115,159,72.3,2,1.4,+0.6,14,81,11,1,98,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,1252,1655,75.6,21280,7300,669,771,86.8,400,512,78.1,144,270,53.3,8,7.5,+0.5,80,144,57,6,179,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,70,75,93.3,1197,181,31,32,96.9,33,33,100.0,6,9,66.7,0,0.0,0.0,0,6,0,0,3,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,9,11,81.8,121,20,5,5,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,1,1,0,1,Matches
