Squad,Age,Born,90s,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,282,3,40,109,149,39,277,9,24,37.5,10,2,207,1000,491,27,6,6,9,11,259,183,70.7,48,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,682,58,225,304,190,7,569,3,10,30.0,4,0,373,1748,1075,30,12,0,4,2,399,373,93.5,21,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,974,47,289,483,284,11,825,21,31,67.7,21,1,567,3058,1653,72,26,0,28,17,625,546,87.4,28,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3.0,99,4,6,29,70,35,93,3,8,37.5,3,1,64,273,206,18,6,4,4,7,129,72,55.8,25,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,76,1,1,19,60,20,73,6,10,60.0,7,0,49,114,66,6,0,2,6,4,151,65,43.0,31,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,1226,193,745,485,40,16,1209,2,3,66.7,3,1,778,2885,1505,25,6,0,5,3,838,822,98.1,1,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15.0,978,37,264,611,172,7,968,13,18,72.2,13,0,661,3010,1775,65,21,1,9,9,690,658,95.4,15,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,339,11,66,151,153,35,335,15,29,51.7,17,0,238,1156,723,25,10,3,21,22,390,239,61.3,61,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,1341,51,378,819,227,11,1213,15,19,78.9,16,0,879,4363,2165,63,22,2,17,14,949,905,95.4,24,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,45,1,6,22,19,0,33,1,1,100.0,1,0,24,61,39,4,1,0,1,1,28,26,92.9,2,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,1105,31,278,645,270,18,1051,17,33,51.5,23,1,704,3980,2085,90,31,1,22,12,836,768,91.9,42,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,2104,17,258,1116,893,110,1923,86,152,56.6,91,10,1594,7119,4527,273,82,24,92,75,1867,1565,83.8,195,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,100,3,30,67,8,0,95,1,2,50.0,2,1,60,253,83,1,0,0,3,4,72,65,90.3,0,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,25,1,2,13,11,4,24,1,1,100.0,1,0,16,111,68,4,0,1,3,3,32,17,53.1,4,Matches
15,Fanendo Adi\ae2dd50a,ng NGA,FW,Minnesota Utd,30,1990,2.3,88,0,5,39,49,15,80,1,1,100.0,1,0,42,126,37,2,1,0,9,4,122,65,53.3,21,Matches
16,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,34,1986,20.2,1478,67,471,697,393,17,1307,12,18,66.7,12,0,1012,3596,1841,62,21,0,15,10,1036,983,94.9,41,Matches
17,Juan Agudelo\0cb2115f,us USA,FWMF,Minnesota Utd,28,1992,2.7,90,1,3,43,48,21,86,0,5,0.0,1,0,57,323,204,5,2,2,4,6,152,76,50.0,24,Matches
18,Raul Aguilera Jr.\7b6113d9,us USA,MF,Orlando City,21,1999,1.1,68,2,24,39,8,0,67,0,0,,0,0,46,182,53,0,0,0,0,0,45,44,97.8,0,Matches
19,Daniel Aguirre\ecc5063f,us USA,MFFW,LA Galaxy,21,1999,0.4,28,2,4,13,13,4,28,0,0,,0,0,18,67,32,1,1,0,0,0,21,19,90.5,5,Matches
20,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,24,1996,0.2,6,1,1,4,1,1,6,0,0,,0,0,3,5,2,0,0,0,0,0,9,4,44.4,1,Matches
21,Arnaud Ake\3402bb17,ci CIV,FWMF,Nashville,22,1998,4.4,153,3,16,62,88,24,150,2,14,14.3,2,0,112,591,314,19,5,6,17,17,203,112,55.2,38,Matches
22,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,28,1992,15.2,540,21,49,264,244,82,510,9,14,64.3,9,1,317,1056,375,25,8,7,40,35,669,397,59.3,117,Matches
23,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,21,2000,7.2,207,3,10,95,113,25,187,6,10,60.0,6,1,143,526,255,12,5,2,13,22,335,156,46.6,45,Matches
24,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,31,1989,22.7,1517,238,906,653,44,17,1442,14,22,63.6,14,0,964,5411,3114,61,2,0,3,3,1048,1032,98.5,3,Matches
25,Caio Alexandre\08ac23b7,br BRA,MF,Vancouver,21,1999,10.6,621,15,113,398,157,15,589,8,12,66.7,8,0,475,2395,1232,65,17,3,7,10,504,455,90.3,20,Matches
26,Tony Alfaro\4118b12a,us USA,DF,D.C. United,27,1993,20.5,1109,150,548,574,45,13,1027,5,6,83.3,5,1,585,3502,1877,52,6,0,4,6,634,616,97.2,1,Matches
27,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,20,2000,17.7,786,19,103,399,376,66,777,37,59,62.7,37,0,667,4322,2335,112,44,15,36,51,794,593,74.7,112,Matches
28,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,35,1985,15.7,1126,61,285,699,222,4,1100,15,24,62.5,15,0,789,3888,1688,77,24,1,10,12,784,763,97.3,19,Matches
29,Jozy Altidore\8db8ad1e,us USA,FW,Toronto FC,31,1989,8.5,286,5,22,113,156,32,272,2,4,50.0,3,0,165,397,113,7,1,1,11,7,370,232,62.7,65,Matches
30,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,21,1999,2.2,121,2,27,58,45,3,119,2,2,100.0,2,0,92,412,153,9,1,0,8,9,118,100,84.7,17,Matches
31,Ventura Alvarado\4c219392,us USA,DF,Inter Miami,28,1992,0.2,9,1,6,3,0,0,6,1,1,100.0,1,1,6,32,19,2,0,0,0,0,5,4,80.0,0,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,13.9,808,8,109,408,364,53,761,31,51,60.8,34,4,630,3045,1639,85,35,9,22,22,733,634,86.5,92,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,467,5,76,235,187,13,449,11,22,50.0,12,0,326,1496,852,35,17,2,16,15,348,279,80.2,18,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,48,2,7,30,12,0,44,1,1,100.0,1,0,36,103,49,2,0,0,1,0,35,34,97.1,2,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,1048,60,316,452,338,31,904,8,15,53.3,9,0,601,2354,1422,71,24,3,18,19,677,619,91.4,46,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,23,2,9,6,10,0,20,1,1,100.0,1,0,15,96,69,1,1,0,0,1,11,11,100.0,0,Matches
37,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,26,1994,21.7,1498,83,447,926,224,5,1480,37,54,68.5,37,4,1075,5304,2598,91,23,3,18,35,1000,960,96.0,19,Matches
38,Jalil Anibaba\e44593b0,us USA,DF,Nashville,32,1988,7.1,318,58,222,103,8,5,313,0,1,0.0,0,0,192,853,315,6,0,0,0,0,203,202,99.5,2,Matches
39,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,24,1996,16.8,908,28,234,549,181,10,888,12,19,63.2,12,1,610,2821,1191,29,17,1,10,20,601,557,92.7,36,Matches
40,Cristian Arango\fea9401e,co COL,FW,Los Angeles FC,25,1995,15.5,553,6,33,195,372,102,508,28,58,48.3,30,1,370,1769,1170,58,29,13,47,32,604,382,63.2,111,Matches
41,Julian Araujo\8f4541c2,mx MEX,DF,LA Galaxy,19,2001,31.0,2334,158,740,981,749,69,2054,36,73,49.3,36,1,1450,6189,3646,160,50,23,42,61,1505,1371,91.1,102,Matches
42,Luiz Araújo\fa18c72e,br BRA,FWMF,Atlanta Utd,24,1996,12.8,703,6,88,377,332,56,681,38,61,62.3,41,4,564,3546,2079,101,39,16,32,29,665,562,84.5,64,Matches
43,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,25,1995,4.1,164,1,9,77,89,28,161,6,9,66.7,7,0,114,580,231,14,5,4,13,11,193,120,62.2,39,Matches
44,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,26,1994,24.0,1301,303,907,445,21,14,1260,9,10,90.0,9,0,815,4893,3049,29,3,0,2,6,839,825,98.3,1,Matches
45,Paul Arriola\1bb2acce,us USA,FWMF,D.C. United,25,1995,15.1,632,6,57,286,328,68,608,13,30,43.3,14,1,432,2306,1262,84,21,15,25,28,700,465,66.4,108,Matches
46,Artur\ea6803c7,br BRA,MF,Columbus Crew,24,1996,4.8,290,22,119,142,39,7,284,2,7,28.6,3,1,205,765,239,8,2,0,3,4,211,198,93.8,8,Matches
47,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,26,1994,7.2,422,9,69,217,179,22,408,5,15,33.3,5,0,262,1547,795,38,17,2,20,16,368,276,75.0,48,Matches
48,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,28,1992,23.2,1113,38,195,461,561,113,1091,42,83,50.6,43,1,796,4685,3101,134,40,22,87,57,1114,804,72.2,165,Matches
49,Isaac Atanga\ff0f2a53,gh GHA,FWMF,FC Cincinnati,20,2000,11.4,335,8,58,148,166,43,329,12,27,44.4,13,2,233,1410,928,48,19,10,28,17,373,235,63.0,54,Matches
50,Joshua Atencio\1f084637,us USA,MF,Seattle,19,2002,16.8,987,44,300,608,132,5,963,14,18,77.8,16,0,629,3063,1474,48,17,1,14,14,678,616,90.9,25,Matches
51,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,32,1988,1.9,48,40,48,0,0,0,30,0,0,,0,0,16,74,37,0,0,0,0,0,14,14,100.0,0,Matches
52,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,23,1997,23.6,2067,53,391,1170,649,36,1875,44,68,64.7,46,5,1396,6603,3495,167,52,5,31,52,1496,1388,92.8,65,Matches
53,Auro\b234cb0e,br BRA,DFMF,Toronto FC,25,1996,22.1,1479,81,470,722,389,27,1277,30,42,71.4,31,3,912,4272,2578,114,45,6,23,22,944,877,92.9,34,Matches
54,Brandon Austin\5e253986,eng ENG,GK,Orlando City,22,1999,5.0,124,105,124,0,0,0,75,0,0,,0,0,44,180,93,0,0,0,0,0,39,39,100.0,0,Matches
55,Edison Azcona\05f54837,do DOM,FW,Inter Miami,17,2003,0.6,35,0,1,17,20,0,33,1,2,50.0,1,0,24,135,89,5,3,0,3,3,29,23,79.3,1,Matches
56,Dominique Badji\758ac389,sn SEN,FW,Nashville,28,1992,2.1,83,1,3,41,42,11,83,0,2,0.0,0,0,54,330,146,11,0,2,3,2,98,61,62.2,14,Matches
57,Dominique Badji\758ac389,sn SEN,FWMF,Colorado Rapids,28,1992,3.6,118,5,10,61,53,20,114,3,5,60.0,3,0,73,413,171,10,3,3,7,7,168,92,54.8,24,Matches
58,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,20,2000,7.6,445,24,166,211,84,14,401,7,11,63.6,8,0,298,1271,646,23,5,1,5,8,299,280,93.6,17,Matches
