Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p_90,Ast_p_90,G+A_p_90,G-PK_p_90,G+A-PK_p_90,xG,npxG,xA,npxG+xA,xG_p_90,xA_p_90,xG+xA_p_90,npxG_p_90,npxG+xA_p_90,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,14,5,598,6.6,3,0,3,0,0,1,0,0.45,0.00,0.45,0.45,0.45,1.3,1.3,1.3,2.7,0.20,0.20,0.40,0.20,0.40,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,18,7,929,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,1.2,0.01,0.11,0.11,0.01,0.11,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,23,14,1232,13.7,0,2,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,1.6,2.1,0.04,0.12,0.16,0.04,0.16,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,10,1,268,3.0,2,0,2,0,1,1,1,0.67,0.00,0.67,0.67,0.67,2.7,1.8,0.8,2.6,0.91,0.27,1.17,0.60,0.86,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,12,0,225,2.5,3,0,3,0,0,0,0,1.20,0.00,1.20,1.20,1.20,1.0,1.0,0.0,1.0,0.40,0.00,0.40,0.40,0.40,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,24,23,1921,21.3,2,0,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.0,0.8,0.04,0.00,0.04,0.04,0.04,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,24,15,1351,15.0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.4,0.03,0.06,0.09,0.03,0.09,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,14,10,821,9.1,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,3.1,3.1,1.0,4.1,0.34,0.11,0.45,0.34,0.45,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,23,16,1575,17.5,0,1,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,2,0,63,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
